City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
126,Sitka,US,2020-04-20 06:47:32,57.05,-135.33,42.8,87,90,10.29,light intensity drizzle,0.0,0.0
127,Hilo,US,2020-04-20 06:47:32,19.73,-155.09,75.2,69,90,6.46,overcast clouds,0.0,0.0
128,Butaritari,KI,2020-04-20 06:47:32,3.07,172.79,84.07,70,16,7.16,few clouds,0.0,0.0
129,Niamey,NE,2020-04-20 06:47:32,13.51,2.11,86.0,45,1,8.05,clear sky,0.0,0.0
130,New Norfolk,AU,2020-04-20 06:47:33,-42.78,147.06,55.0,71,61,5.01,light rain,0.01141732283464567,0.0
131,Lodja,CD,2020-04-20 06:45:51,-3.48,23.43,69.15,84,100,1.16,light rain,0.006692913385826772,0.0
132,Narrabri,AU,2020-04-20 06:47:33,-30.32,149.78,71.6,30,40,8.05,scattered clouds,0.0,0.0
133,Bulgan,MN,2020-04-20 06:47:33,48.81,103.53,35.6,35,86,13.98,overcast clouds,0.0,0.0
134,Ilulissat,GL,2020-04-20 06:47:34,69.22,-51.1,24.8,53,100,26.4,light shower snow,0.0,0.0
135,San Policarpo,PH,2020-04-20 06:47:34,12.18,125.51,84.16,77,76,11.03,light rain,0.021259842519685043,0.0
136,Mirnyy,RU,2020-04-20 06:47:34,62.54,113.96,33.8,40,89,6.71,overcast clouds,0.0,0.0
137,Manta,EC,2020-04-20 06:47:34,-0.95,-80.73,76.37,82,44,3.91,scattered clouds,0.0,0.0
138,Pevek,RU,2020-04-20 06:47:34,69.7,170.31,12.09,95,100,9.04,light snow,0.0,0.006299212598425198
139,Talnakh,RU,2020-04-20 06:47:34,69.49,88.4,37.4,64,100,31.32,overcast clouds,0.0,0.0
140,Antalaha,MG,2020-04-20 06:47:35,-14.9,50.28,79.81,76,92,6.76,light rain,0.10629921259842522,0.0
141,Saint Anthony,US,2020-04-20 06:47:35,45.02,-93.22,39.2,51,1,4.7,clear sky,0.0,0.0
142,Nantucket,US,2020-04-20 06:47:35,41.28,-70.1,46.99,87,90,16.11,overcast clouds,0.0,0.0
143,Port Elizabeth,ZA,2020-04-20 06:47:35,-33.92,25.57,71.6,56,0,9.17,clear sky,0.0,0.0
144,Raga,SS,2020-04-20 06:47:35,8.46,25.68,79.25,53,83,6.8,broken clouds,0.0,0.0
145,Petropavlovsk-Kamchatskiy,RU,2020-04-20 06:47:36,53.05,158.65,37.4,34,22,13.42,few clouds,0.0,0.0
146,Marawi,PH,2020-04-20 06:47:36,8.0,124.29,78.69,67,98,4.03,moderate rain,0.2503937007874016,0.0
