City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,Cidreira,-30.18,-50.21,68.07,85,0,16.93,BR,2020-04-20 00:06:12
147,Voh,-20.97,164.7,82.2,70,99,4.09,NC,2020-04-20 00:03:56
148,Nova Vicosa,-17.89,-39.37,76.24,75,63,14.76,BR,2020-04-20 00:06:13
149,Faanui,-16.48,-151.75,82.83,75,60,15.23,PF,2020-04-20 00:06:14
150,Kahului,20.89,-156.47,82.4,51,40,9.17,US,2020-04-20 00:06:14
151,Baft,29.23,56.61,52.29,33,100,5.59,IR,2020-04-20 00:06:14
152,Inta,66.03,60.17,34.21,95,100,6.89,RU,2020-04-20 00:06:14
153,Severo-Kurilsk,50.68,156.12,30.97,91,73,9.89,RU,2020-04-20 00:06:14
154,Mahebourg,-20.41,57.7,75.2,88,40,11.41,MU,2020-04-20 00:06:15
155,Georgetown,5.41,100.34,80.6,94,20,3.91,MY,2020-04-20 00:01:31
156,Nanortalik,60.14,-45.24,28.4,89,6,9.46,GL,2020-04-20 00:06:15
157,Ponta Do Sol,32.67,-17.1,57.99,67,13,5.99,PT,2020-04-20 00:06:15
158,Saldanha,-33.01,17.94,59.0,82,31,12.75,ZA,2020-04-20 00:06:15
159,Hualmay,-11.1,-77.61,70.61,78,21,8.08,PE,2020-04-20 00:06:16
160,Los Andes,-32.83,-70.6,77.0,50,0,9.17,CL,2020-04-20 00:06:16
161,Hasaki,35.73,140.83,48.2,93,75,8.05,JP,2020-04-20 00:06:16
162,Seoul,37.57,126.98,51.8,76,90,5.55,KR,2020-04-20 00:01:31
163,Longyearbyen,78.22,15.64,28.4,86,90,33.33,SJ,2020-04-20 00:04:26
164,Kruisfontein,-34.0,24.73,67.21,49,20,4.18,ZA,2020-04-20 00:06:17
165,Constitucion,-35.33,-72.42,57.25,68,74,12.71,CL,2020-04-20 00:06:17
166,Kjollefjord,70.95,27.35,39.4,94,100,21.92,NO,2020-04-20 00:06:17
167,Ust-Omchug,61.15,149.63,3.58,80,70,8.61,RU,2020-04-20 00:06:18
168,Te Anau,-45.42,167.72,51.75,57,58,7.76,NZ,2020-04-20 00:06:18
169,Tambo,-14.8,-73.92,37.76,28,48,3.51,PE,2020-04-20 00:06:18
170,Tuatapere,-46.13,167.68,55.99,66,35,5.99,NZ,2020-04-20 00:06:18
171,Oranjemund,-28.55,16.43,59.0,94,18,1.23,NA,2020-04-20 00:06:18
172,Khatanga,71.97,102.5,24.04,95,34,5.41,RU,2020-04-20 00:06:19
173,Novoagansk,61.94,76.66,39.18,81,95,5.01,RU,2020-04-20 00:06:19
174,Balatonalmadi,47.04,18.02,46.4,65,75,2.24,HU,2020-04-20 00:06:19
175,College,64.86,-147.8,52.0,75,90,2.55,US,2020-04-20 00:04:39
176,Lasa,46.62,10.7,46.4,100,90,2.24,IT,2020-04-20 00:06:19
177,Suba,10.84,121.01,83.68,80,62,18.07,PH,2020-04-20 00:06:20
178,Tiksi,71.69,128.87,14.04,91,94,6.31,RU,2020-04-20 00:06:20
179,Nemuro,43.32,145.57,33.8,100,75,11.41,JP,2020-04-20 00:06:20
180,Altamira,-3.2,-52.21,74.48,93,75,1.92,BR,2020-04-20 00:06:02
